code,name,symbol
"E56","Bien","Unidad de recuento para definir el número de pozos."
"E57","Zona","Unidad de conteo que define el número de zonas."
"E58","Exabit por segundo","Unidad de información igual a 10¹⁸ bits (dígitos binarios) por segundo."
"E59","Exbibyte","Unidad de información igual a 2⁶⁰ bytes."
"E60","Pebibyte","Unidad de información igual a 2⁵⁰ bytes."
"E61","Tebibyte","Unidad de información igual a 2⁴⁰ bytes."
"E62","Gibibyte","Unidad de información igual a 2³⁰ bytes."
"E63","Mebibyte","Unidad de información igual a 2²⁰ bytes."
"E64","Kibibyte","Unidad de información igual a 2¹⁰ bytes."
"E65","Exbibit por metro","Unidad de información igual a 2⁶⁰ bits (dígitos binarios) por metro."
"E66","Exbibit por metro cuadrado","Unidad de información igual a 2⁶⁰ bits (dígitos binarios) por metro cuadrado."
"E67","Exbibit por metro cúbico","Unidad de información igual a 2⁶⁰ bits (dígitos binarios) por metro cúbico."
"E68","Gigabyte por segundo","Unidad de información igual a 10⁹ bytes por segundo."
"E69","Gibibit por metro","Unidad de información igual a 2³⁰ bits (dígitos binarios) por metro."
"E70","Gibibit por metro cuadrado","Unidad de información igual a 2³⁰ bits (dígitos binarios) por metro cuadrado."
"E71","Gibibit por metro cúbico","Unidad de información igual a 2³⁰ bits (dígitos binarios) por metro cúbico."
"E72","Kibibit por metro","Unidad de información igual a 2¹⁰ bits (dígitos binarios) por metro."
"E73","Kibibit por metro cuadrado","Unidad de información igual a 2¹⁰ bits (dígitos binarios) por metro cuadrado."
"E74","Kikibit por metro cúbico.","Unidad de información igual a 2¹⁰ bits (dígitos binarios) por metro cúbico."
"E75","Mebbit por metro.","Unidad de información igual a 2²⁰ bits (dígitos binarios) por metro."
"E76","Mebbitt por metro cuadrado.","Unidad de información igual a 2²⁰ bits (dígitos binarios) por metro cuadrado."
"E77","Mebbit por metro cúbico.","Unidad de información igual a 2²⁰ bits (dígitos binarios) por metro cúbico."
"E78","Petabit","Unidad de información igual a 10¹⁵ los bits (dígitos binarios)."
"E79","Pebibit por segundo.","Unidad de información igual a 10¹⁵ bits (dígitos binarios) por segundo."
"E80","Pebibit por metro.","Unidad de información igual a 2⁵⁰ bits (dígitos binarios) por metro."
"E81","Pebibit por metro cuadrado.","Unidad de información igual a 2⁵⁰ bits (dígitos binarios) por metro cuadrado."
"E82","Pebibit por metro cúbico.","Unidad de información igual a 2⁵⁰ bits (dígitos binarios) por metro cúbico."
"E83","Tebibit.","Unidad de información igual a 10¹² los bits (dígitos binarios)."
"E84","Tebibit por segundo","Unidad de información igual a 10¹² bits (dígitos binarios) por segundo."
"E85","Tebibit por metro.","Unidad de información igual a 2⁴⁰ bits (dígitos binarios) por metro."
"E86","Tebibit por metro cúbico.","Unidad de información igual a 2⁴⁰ bits (dígitos binarios) por metro cúbico."
"E87","Tebibit por metro cuadrado","Unidad de información igual a 2⁴⁰ bits (dígitos binarios) por metro cuadrado."
"E88","Bit por metro","Unidad de información igual a 1 bit (dígito binario) por metro."
"E89","Bit por metro cuadrado","Unidad de información igual a 1 bit (dígito binario) por metro cuadrado."
"E90","Centímetro recíproco",""
"E91","Día recíproco",""
"E92","Decímetro cúbico por hora",""
"E93","Kilogramo por hora",""
"E94","KiloMol por segundo",""
"E95","Mol por segundo",""
"E96","Grado por segundo",""
"E97","Mililitro por gadro celsius metro",""
"E98","Grado celsius por kelvin",""
"E99","Hectopascal por bar",""
"EA","Elemento","Unidad de conteo que define el número de elementos considerados como unidades separadas."
"EB","Casilla de correo electrónico","Es el destino al que correo electrónico se entregan los mensajes. Es el equivalente de un buzón en el sistema postal."
"EP","Paquete de once",""
"EQ","Galón equivalente","Unidad de volumen que define el número de galones de producto producido a partir de concentrado."
"F01","Bit por metro cúbico","Unidad de información igual a 1 bit (dígito binario) por metro cúbico."
"F02","Kelvin por kelvin",""
"F03","Kilopascal por bar",""
"F04","Milibar por bar",""
"F05","Megapascal por bar",""
"F06","Poise por bar",""
"F07","Pascal por bar",""
"F08","Miliamperio por pulgada",""
"F1","Mil pies cúbicos por día",""
"F10","Kelvin por hora",""
"F11","Kelvin por minuto",""
"F12","Kelvin por segundo",""
"F13","Slug","Una unidad de masa. Un slug es la masa acelerada a 1 pie por segundo por segundo por una fuerza de 1 libra."
"F14","Gramo por kelvin",""
"F15","Kilogramo por kelvin",""
"F16","Miligramo por kelvin",""
"F17","Libra fuerza por pie",""
"F18","Kilogramo centímetro cuadrado",""
"F19","Kilogramo milimetro cuadrado",""
"F20","Libra pulgada cuadrada",""
"F21","Libra fuerza pulgada",""
"F22","Libra fuerza por pie entre amperio",""
"F23","Gramo por decímetro cúbico",""
"F24","Kilogramo por kiloMol",""
"F25","Gramo por hertz",""
"F26","Gramo por día",""
"F27","Gramo por hora",""
"F28","Gramo por minuto",""
"F29","Gramo por segundo",""
"F30","Kilogramo por día",""
"F31","Kilogramo por minuto",""
"F32","Miligramo por dia",""
"F33","Miligramo por minuto",""
"F34","Miligramo por segundo",""
"F35","Gramo por día kelvin",""
"F36","Gramo por hora kelvin",""
"F37","Gramo por minuto kelvin",""
"F38","Gramo por segundo kelvin",""
"F39","Kilogramo por día kelvin",""
"F40","Kilogramo por hora kelvin",""
"F41","Kilogramo por minuto kelvin",""
"F42","Kilogramo por segundo kelvin",""
"F43","Miligramo por día kelvin",""
"F44","Miligramo por hora kelvin",""
"F45","Miligramo por minuto kelvin",""
"F46","Miligramo por segundo kelvin",""
"F47","Newton por milímetro",""
"F48","Libra fuerza por pulgada",""
"F49","Rod (Unidad de distancia)","Unidad de distancia equivalente a 5.5 yardas (16 pies 6 pulgadas)"
"F50","Micrómetro por kelvin",""
"F51","Centímetro por kelvin",""
"F52","Metro por kelvin",""
"F53","Mililitro por kelvin",""
"F54","MiliOhm por metro",""
"F55","Ohm por milla (milla estatal)",""
"F56","Ohm por kilómetro",""
"F57","Miliamperio por libra-fuerza por pulgada cuadrada",""
"F58","Bar recíproco",""
"F59","Miliamperio por bar",""
"F60","Grado celsius por bar",""
"F61","Kelvin por bar",""
"F62","Gramo por día bar",""
"F63","Gramo por hora bar",""
"F64","Gramo por minuto bar",""
"F65","Gramo por segundo bar",""
"F66","Kililogramo por día bar",""
"F67","Kilogramo por hora bar",""
"F68","Kilogramo por minuto bar",""
"F69","Kilogramo por segundo bar",""
"F70","Miligramo por día bar",""
"F71","Miligramo por hora bar",""
"F72","Miligramo por minuto bar",""
"F73","Miligramo por segundo bar",""
"F74","Gramo por bar",""
"F75","Miligramo por bar",""
"F76","Miliamperio por milímetro",""
"F77","Pascal segundo por kelvin",""
"F78","Pulgada de agua",""
"F79","Pulgada de mercurio",""
"F80","Caballos de fuerza de agua","Define la cantidad de potencia requerida para mover un volumen dado de agua contra la aceleración de la gravedad a una elevación especificada (cabezal de presión)."
"F81","Bar por kelvin",""
"F82","Hectopascal por kelvin",""
"F83","Kilopascal por kelvin",""
"F84","Milibar por kelvin",""
"F85","Megapascal por kelvin",""
"F86","Poise por kelvin",""
"F87","Voltio por litro minuto",""
"F88","Newton centímetro",""
"F89","Newton metro por grados",""
"F9","Fibra por centímetro cúbico de aire",""
"F90","Newton metro por amperio",""
"F91","Bar litro por segundo",""
"F92","Bar metro cúbico por segundo",""
"F93","Hectopascal litro por segundo",""
"F94","Hectopascal metro cúbico por segundo",""
"F95","Milibar litro por segundo",""
"F96","Milibar metro cúbico por segundo",""
"F97","Megapascal litro por segundo",""
"F98","Megapascal metro cúbico por segundo",""
"F99","Pascal litro por segundo",""
"FAH","Grado fahrenheit","Consulte ISO 80000-5 (Cantidades y unidades - Parte 5: Termodinámica)"
"FAR","Farad","Es la capacidad de un condensador eléctrico que entre sus armaduras aparece una diferencia de potencial eléctrico de 1 volt, cuando está cargado con una cantidad de electricidad igual a 1 coulomb."
"FB","campo",""
"FBM","Medidor de fibra","Unidad de longitud que define el número de metros de fibra individual."
"FC","Mil pies cúbicos","Unidad de volumen igual a mil pies cúbicos."
"FD","Millones de partículas por pie cúbico",""
"FE","Pie de pista",""
"FF","Cien metros cúbicos","Unidad de volumen igual a cien metros cúbicos."
"FG","Parche transdérmico",""
"FH","MicroMol",""
"FIT","Fallas en el tiempo","Unidad de conteo que define el número de fallos que se pueden esperar en un intervalo de tiempo especificado. Las tasas de fallo de los componentes semiconductores se especifican a menudo como FIT (fallas en la unidad de tiempo) donde 1 FIT = 10?? / h."
"FL","Flake ton","Unidad de masa que define el número de toneladas de una sustancia en copos (escamas: un pequeño fragmento plano)."
"FM","Millones de pies cúbicos",""
"FOT","Pie","Unidad de medida empleada por aeronautas, equivale a 30.48 cm"
"FP","Libra por pie cuadrado",""
"FR","Pie por minuto",""
"FS","Pie por segundo",""
"FTK","Pie cuadrado","Es una unidad de superficie del sistema anglosajón de unidades, equivalente a un cuadrado de un pie de lado."
"FTQ","Pie cúbico",""
"G01","Pascal metro cúbico por segundo",""
"G04","Centímetro por bar",""
"G05","Metro por bar",""
"G06","Milímetro por bar",""
"G08","Pulgada cuadrada por segundo",""
"G09","Metro cuadrado por segundo kelvin",""
"G10","Stokes por kelvin",""
"G11","Gramo por centímetro cúbico bar",""
"G12","Gramo por decímetro cúbico bar",""
"G13","Gramo por litro bar",""
"G14","Gramo por metro cúbico bar",""
"G15","Gramo por mililitro bar",""
"G16","Kilogramo por centímetro cúbico bar",""
"G17","Kilogramo por litro bar",""
"G18","Kilogramo por metro cúbico bar",""
"G19","Newton metro por kilogramo",""
"G2","Galón (EUA) por minuto",""
"G20","Libra-fuerza pie por libra",""
"G21","Taza (unidad de volumen)",""
"G23","Peck","Es una unidad de medida imperial y habitual en  Estados Unidos de volumen seco."
"G24","Cucharada (estados unidos)","1/2 onzas fluidas, 3 cucharaditas, 15 mililitros"
"G25","Cucharilla (estados unidos)","1/6 onzas fluidas o 5 mililitros"
"G26","Estere",""
"G27","Centímetro cúbico por kelvin",""
"G28","Litro por kelvin",""
"G29","Metro cúbico por kelvin",""
"G3","Galón (RU) por minuto",""
"G30","Mililitro por klevin",""
"G31","Kilogramo por centímetro cúbico",""
"G32","Onza (avoirdupois) por yarda cúbica",""
"G33","Gramo por centímetro cúbico kelvin",""
"G34","Gramo por decímetro cúbico kelvin",""
"G35","Gramo por litro kelvin",""
"G36","Gramo por metro cúbico kelvin",""
"G37","Gramo por mililitro kelvin",""
"G38","Kilogramo por centímetro cúbico kelvin",""
"G39","Kilogramo por litro kelvin",""
"G40","Kilogramo por metro cúbico kelvin",""
"G41","Metro cuadrado por segundo bar",""
"G42","Microsiemens por centímetro",""
"G43","Microsiemens por metro",""
"G44","Nanosiemens por centímetro",""
"G45","Nanosiemens por metro",""
"G46","Stokes por bar",""
"G47","Centímetro cúbico por día",""
"G48","Centímetro cúbico por hora",""
"G49","Centímetro cúbico por minuto",""
"G50","Galón por hora",""
"G51","Litro por segundo",""
"G52","Metro cúbico por día",""
"G53","Metro cúbico por minuto",""
"G54","Mililitro por día",""
"G55","Mililitro por hora",""
"G56","Pulgada cúbica por hora",""
"G57","Pulgada cúbica por minuto",""
"G58","Pulgada cúbica por segundo",""
"G59","Miliamperio por litro minuto",""
"G60","Voltio por bar",""
"G61","Centímetro cúbico por día kelvin",""
"G62","Centímetro cúbico por hora kelvin",""
"G63","Centímetro cúbico por minuto kelvin",""
"G64","Centímetro cúbico por segundo kelvin",""
"G65","Litro por día kelvin",""
"G66","Litro por hora kelvin",""
"G67","Litro por minuto kelvin",""
"G68","Litro por segundo kelvin",""
"G69","Metro cúbico por día kelvin",""
"G7","Hoja de microficha",""
"G70","Metro cúbico por hora kelvin",""
"G71","Metro cúbico por minuto kelvin",""
"G72","Metro cúbico por segundo kelvin",""
"G73","Mililitro por día kelvin",""
"G74","Mililitro por hora kelvin",""
"G75","Mililitro por minuto kelvin",""
"G76","Mililitro por segundo kelvin",""
"G77","Milímetro a la cuarta potencia",""
"G78","Centímetro cúbico por día bar",""
"G79","Centímetro cúbico por hora bar",""
"G80","Centímetro cúbico por minuto bar",""
"G81","Centímetro cúbico por segundo bar",""
"G82","Litro por día bar",""
"G83","Litro por hora bar",""
"G84","Litro por minuto bar",""
"G85","Litro por segundo bar",""
"G86","Metro cúbico por día bar",""
"G87","Metro cúbico por hora bar",""
"G88","Metro cúbico por minuto bar",""
"G89","Metro cúbico por segundo bar",""
"G90","Mililitro por día bar",""
"G91","Mililitro por hora bar",""
"G92","Mililitro por minuto bar",""
"G93","Mililitro por segundo bar",""
"G94","Centímetro cúbico por bar",""
"G95","Litro por bar",""
"G96","Metro cúbico por bar",""
"G97","Mililitro por bar",""
"G98","Micro henry por kiloOhm",""
"G99","Micro henry por Ohm",""
"GB","Galón (EUA) por día",""
"GBQ","Gigabecquerel",""
"GC","Gramo por 100 gramos",""
"Gd","Barril bruto",""
"GDW","Gramo, peso seco","Unidad de masa que define el número de gramos de un producto, sin tener en cuenta el contenido de agua del producto."
"GE","Libra por galón (EUA)",""
"GF","Gramo por metro (gramo por 100 centímetros)",""
"GFI","Gramo de isótopo fisible","Unidad de masa que define el número de gramos de un isótopo fisible (isótopo fisible: un isótopo cuyo núcleo es capaz de ser dividido cuando se irradia con neutrones de baja energía)."
"GGR","Grandioso","Unidad de cuenta que define el número de unidades en múltiplos de 1728 (12 x 12 x 12)."
"GH","Medio galón (US)",""
"GIA","Gill (us)","Es Unidad de volumen inglesa en el sistema imperial y en los Estados Unidos. La versión imperial usada en el UK es de 5 onzas líquidas, y es equivalente a 142,0653125 ml; mientras que en los EUA es de 4 onzas líquidas, y es equivalente a 118,29411825 ml."
"GIC","Gramo, incluido el contenedor","Unidad de masa que define el número de gramos de un producto, incluyendo su recipiente."
"GII","Gill (uk)","Es Unidad de volumen inglesa en el sistema imperial y en los Estados Unidos. La versión imperial usada en el UK es de 5 onzas líquidas, y es equivalente a 142.0653125 ml; mientras que en los EUA es de 4 onzas líquidas, y es equivalente a 118.29411825 ml."
"GIP","Grama, incluido el embalaje interior","Unidad de masa que define el número de gramos de un producto, incluyendo sus materiales de envasado interior."
"GJ","Gramo por mililitro",""
"GK","Gramo por kilogramo",""
"GL","Gramo por litro",""
"GLD","Galón seco (EUA)",""
"GLI","Galón (UK)","Es una unidad de volumen que se emplea en los países anglófonos (especialmente Estados Unidos) o con influencia de estos (como Liberia, Guatemala, Panamá, Honduras, Nicaragua, El Salvador, Colombia y parcialmente en México), para medir volúmenes de líquidos, principalmente la gasolina y su precio. Antiguamente, el volumen de un galón dependía de lo que se midiera, y dónde. Sin embargo, en el siglo XIX existían dos definiciones de uso común: ""galón de vino"" (wine gallon) y ""galón de cerveza británico"" (ale gallon).
Es equivalente a 3.7854 litros."
"GLL","Galón (EUA)","Es una unidad de volumen que se emplea en los países anglófonos (especialmente Estados Unidos) o con influencia de estos (como Liberia, Guatemala, Panamá, Honduras, Nicaragua, El Salvador, Colombia y parcialmente en México), para medir volúmenes de líquidos, principalmente la gasolina y su precio. Antiguamente, el volumen de un galón dependía de lo que se midiera, y dónde. Sin embargo, en el siglo XIX existían dos definiciones de uso común: ""galón de vino"" (wine gallon) y ""galón de cerveza británico"" (ale gallon)."
"GM","Gramo por metro cuadrado",""
"GN","Galón bruto",""
"GO","Miligramo por metro cuadrado",""
"GP","Miligramo por metro cúbico",""
"GQ","Microgramo por metro cúbico",""
"GRM","Gramo","Medida de masa, de símbolo g, que es igual a la milésima parte de un kilogramo."
"GRN","Grano","Es la mínima unidad de masa en el sistema inglés de medidas. Se considera con el mismo valor en cualquier país anglosajón. Se utiliza para estimar con más sensibilidad y precisión la poca masa de pequeños objetos (medicamentos, drogas, pólvora, proyectiles, piezas de joyería, etc.)."
"GRO","Gross","Unidad de conteo que define el número de unidades en múltiplos de 144 (12 x 12)."
"GT","Tonelada bruta","Una unidad de masa igual a 2240 libras. Véase el Convenio internacional sobre arqueo de buques.

Sinónimo: ton (UK) o tonelada larga (US) (código común LTN)"
"GV","Gigajoule",""
"GW","Galón por mil pies cúbicos",""
"GWH","Gigawatt hora",""
"GY","Patio grueso",""
"GZ","Sistema de calibración",""
"H03","Henry por kiloOhm",""
"H04","Henry por Ohm",""
"H05","Milihenry por kiloOhm",""
"H06","Milihenry por Ohm",""
"H07","Pascal segundo por bar",""
"H08","Microbequerel",""
"H09","Año recíproco",""
"H1","Media página - electrónica",""
"H10","Hora recíproca",""
"H11","Mes recíproco",""
"H12","Grado celsius por hora",""
"H13","Grado celsius por minuto",""
"H14","Grado celsius por segundo",""
"H15","Centímetro cuadrado por gramo",""
"H16","Decámetro cuadrado",""
"H18","Hectómetro cuadrado","Sinónimo: hectárea"
"H19","Hectómetro cúbico",""
"H2","Medio litro",""
"H20","Kilómetro cúbico",""
"H21","Blanco","Unidad de conteo que define el número de blancos"
"H22","Voltio pulgada cuadrada por libra fuerza",""
"H23","Voltio por pulgada",""
"H24","Voltio por microsegundo",""
"H25","Por ciento por kelvin","Unidad de proporción, igual a 0,01, en relación con la unidad de base SI Kelvin."
"H26","Ohm por metro",""
"H27","Grado por metro",""
"H28","Microfaradio por kilómetro",""
"H29","Microgramo por litro",""
"H30","Micrómetro cuadrado",""
"H31","Amperio por kilogramo",""
"H32","Amperio cuadrado segundo","Es una unidad de medida basada en la energía o el calor que se permite pasar a través del fusible o interruptor durante una condición de cortocircuito."
"H33","Faradio por kilómetro",""
"H34","Hertz metro",""
"H35","Kelvin metro por watt",""
"H36","MegaOhm por kilómetro",""
"H37","MegaOhm por metro",""
"H38","Megaamperio",""
"H39","Megahertz kilómetro",""
"H40","Newton por amperio",""
"H41","Newton metro watts elevado a la potencia menos 0.5",""
"H42","Pascal por metro",""
"H43","Siemens por centímetro",""
"H44","TeraOhm",""
"H45","Voltio segundo por metro",""
"H46","Voltio por segundo",""
"H47","Watt por metro cúbico",""
"H48","Attofarad",""
"H49","Centímetro por hora",""
"H50","Reciprocidad del centímetro cúbico",""
"H51","Decibel per kilometro",""
"H52","Decibel per metro",""
"H53","Kilogramo por bar",""
"H54","Kilogramo por decímetro cúbico kelvin",""
"H55","Kilogramo por decímetro cúbico bar",""
"H56","Kilogramo por metro cuadrado segundo",""
"H57","Pulgada por dos pi por radián",""
"H58","Metro por voltio segundo",""
"H59","Metro cuadrado por newton",""
"H60","Metro cúbico por metro cúbico",""
"H61","Milisiemens por centímetro",""
"H62","Milivoltio por minuto",""
"H63","Miligramo por centímetro cuadrado",""
"H64","Miligramo por gramo",""
"H65","Mililitro por metro cúbico",""
"H66","Milímetro por año",""
"H67","Milímetro por hora",""
"H68","MiliMol por gram",""
"H69","Picopascal por kilometro",""
"H70","Picosegundo",""
"H71","Por ciento al mes","Unidad de proporción, igual a 0,01, en relación a un mes."
"H72","Por ciento por hectobar","Unidad de proporción, igual a 0,01, en relación con 100 veces la barra unitaria"
"H73","Por ciento por decakelvin","Unidad de proporción, igual a 0,01, en relación con 10 veces la unidad de base SI Kelvin"
"H74","Watt por metro",""
"H75","Decapascal",""
"H76","Gramo por milímetro",""
"H77","Anchura del módulo","Unidad de medida utilizada para describir la anchura de los conjuntos electrónicos como una norma de instalación o una dimensión de montaje."
"H78","Centímetro convencional de agua",""
"H79","Escala francesa","Unidad de longitud usada para la medición de los diámetros de pequeños tubos como instrumentos urológicos y catéteres.                                                       
Sinónimos: Francés, Charrière, Charrière gauge."
"H80","Unidad de bastidor","Unidad de medida utilizada para describir la altura en unidades de bastidor del equipo destinado a ser montado en un bastidor de 19 pulgadas o un bastidor de 23 pulgadas. Unidad de bastidor tiene 1,45 pulgadas (44,45 mm) de alto."
"H81","Milímetro por minuto",""
"H82","Punto grande","Unidad de longitud que define el número de puntos grandes (punto grande: el software de Adobe (EUA) define el punto grande a ser exactamente 1/72 de pulgada (0,013 888 9 pulgadas o 0,352 777 8 milímetros)"
"H83","Litro por kilogramo",""
"H84","Gramos milímetro",""
"H85","Semana recíproca",""
"H87","Pieza","Unidad de conteo que define el número de piezas (pieza: un solo artículo, artículo o ejemplar)."
"H88","MegaOhm kilómetro",""
"H89","Por ciento por Ohmio","Unidad de proporción, igual a 0,01, en relación con un ángulo de un grado."
"H90","Porcentaje por grado","Unidad de proporción, igual a 0,01, en relación a múltiplos de diez mil."
"H91","Por ciento por cada diez mil","Unidad de proporción, igual a 0,01, en relación a múltiplos de cien mil."
"H92","Ciento por cien mil","Unidad de proporción, igual a 0,01, en relación a múltiplos de cien."
"H93","Porcentaje por cien","Unidad de proporción, igual a 0,01, en relación a múltiplos de mil."
"H94","Por ciento por mil","Unidad de proporción, igual a 0,01, en relación con la unidad derivada de SI volt."
"H95","Por ciento por voltio","Unidad de proporción, igual a 0,01, en relación con una presión atmosférica de una barra."
"H96","Tanto por ciento por bar","Unidad de proporción, igual a 0,01, en relación con una presión atmosférica de una barra."
"H98","Por ciento por pulgada","Unidad de proporción, igual a 0,01, en relación a una pulgada."
"H99","Por ciento por metro","Unidad de proporción, igual a 0,01, en relación con un metro."
"HA","Madeja","Unidad de longitud, típicamente para el hilado."
"HAR","hectárea","Sinónimo: hectómetro cuadrado"
"HBA","Hectobar",""
"HBX","Ciento de cajas","Unidad de conteo que define el número de cajas en múltiplos de cien unidades de caja."
"HC","Conteo en cientos","Unidad de cuenta que define el número de unidades contadas en múltiplos de 100."
"HD","Media docena",""
"HDW","Cien kilogramos, peso seco","Unidad de masa que define el número de cien kilogramos de un producto, sin tener en cuenta el contenido de agua del producto."
"HE","Centésima de un quilate",""
"HEA","Cabeza","Unidad de conteo que define el número de cabezas (cabeza: persona o animal considerada como un número."
"HF","Cien pies",""
"HGM","Hectogramo",""
"HH","Cien pies cúbicos","Unidad de volumen igual a cien pies cúbicos."
"HI","Cien hojas",""
"HIU","Unidad internacional de cien","Unidad de cuenta que define el número de unidades internacionales en múltiplos de 100."
"HJ","Potencia métrica",""
"HK","Cien kilogramos",""
"HKM","Cien kilogramos, masa neta","Unidad de masa que define el número de cientos de kilogramos de un producto, después de las deducciones."
"HL","Cien pies (lineal)",""
"HLT","Hectolitro","Es una unidad de volumen equivalente a cien litros, representado por el símbolo hl. Es el segundo múltiplo del litro y también equivale a 100 decímetros cúbicos (0,1 metros cúbicos)."
"HM","Milla por hora (milla estatal)",""
"HMQ","Millones de metros cúbicos","Unidad de volumen igual a un millón de metros cúbicos."
"HMT","Hectómetro","Es una unidad de longitud. Equivale a 100 metros. Hecto es el prefijo para 100 en el Sistema Internacional de Unidades."
"HN","Milímetro convencional de mercurio",""
"HO","Cien onzas troy",""
"HP","Milímetro convencional de agua",""
"HPA","Hectolitro de alcohol puro","Unidad de volumen igual a cien litros de alcohol puro."
"HS","Cien pies cuadrados",""
"HT","media hora",""
"HTZ","Hertz","Unidad de frecuencia del Sistema Internacional, de símbolo Hz, que equivale a la frecuencia de un fenómeno periódico cuyo período es 1 segundo."
"HUR","Hora","Es una unidad de tiempo que se corresponde con la vigésimo-cuarta parte de un día solar medio."
"HY","Cien yardas",""
"IA","Pulgada libra",""
"IC","Contar por pulgada",""
"IE","Personas","Unidad de conteo que define el número de personas."
"IF","Pulgadas de agua","Use una pulgada de agua (código común F78)"
"II","Columna pulgada",""
"IM","Impresión",""
"INH","Pulgada","Es una unidad de longitud antropométrica que equivale al ancho de la primera falange del pulgar, y más específicamente a su falange distal."
"INK","Pulgada cuadrada","Es una unidad de medida imperial, equivalente a la superficie de un cuadrado cuyo lado posee 1 pulgada de longitud (2,54 centímetros)."
"INQ","Pulgada cúbica","Sinónimo: pulgada cuadrada"
"IP","póliza de seguros",""
"ISD","Grado internacional de azúcar","Unidad de medida que define el contenido de azúcar de una solución, expresada en grados."
"IT","Recuento por centímetro",""
"IU","Pulgada por segundo",""
"IV","Pulgada por segundo al cuadrado",""
"J10","Por ciento por milímetro","Unidad de proporción, igual a 0,01, en relación a un milímetro."
"J12","Por mille por psi","Unidad de presión igual a una milésima de psi (libra-fuerza por pulgada cuadrada)."
"J13","Grado api","Unidad de densidad relativa como una medida de cuán pesado o ligero es un líquido de petróleo comparado con agua (API: American Petroleum Institute)."
"J14","Grado baume (escala de origen)","Unidad tradicional de densidad relativa para líquidos. Nombrado en honor de Antoine Baumé."
"J15","Grado baume (us pesado)","Unidad de densidad relativa para líquidos más pesados que el agua."
"J16","Grado baume (luz de los EUA)","Unidad de densidad relativa para líquidos más ligeros que el agua."
"J17","Grado balling","Unidad de densidad como medida del contenido de azúcar, especialmente de mosto de cerveza. Nombrado en honor de Karl Balling."
"J18","Grado brix","Unidad de proporcion utilizada para medir la proporcion de masa de azúcar disuelta a agua de un líquido. Nombrado en honor de Adolf Brix"
"J19","Grado fahrenheit hora pie cuadrado por unidad térmica británica (termoquímico).",""
"J2","Joule por kilogramo",""
"J20","Grado fahrenheit por kelvin",""
"J21","Grado fahrenheit por bar",""
"J22","Grado fahrenheit hora pie cuadrado por unidad térmica británica (tabla internacional).",""
"J23","Grado fahrenheit por hora",""
"J24","Grado fahrenheit por minuto",""
"J25","Grado fahrenheit por segundo",""
"J26","Reciprocidad grado fahrenheit",""
"J27","Grado oechsle","Unidad de densidad como medida del contenido de azúcar de mosto, el licor no fermentado del que se elabora el vino. Nombrado en honor de Ferdinand Oechsle."
"J28","Grado rankine por hora",""
"J29","Grado rankine por minuto",""
"J30","Grado rankine por segundo",""
"J31","Grado twaddel.","Unidad de densidad para líquidos que son más pesados que el agua. 1 grado Twaddle representa una diferencia en gravedad específica de 0,005."
"J32","Micropoise",""
"J33","Microgramo por kilogramo",""
"J34","Microgramo por metro cúbico kelvin",""
"J35","Microgramo por metro cúbico bar",""
"J36","Microlitro por litro",""
"J38","Baud","Es Unidad de medida utilizada en telecomunicaciones, que representa el número de símbolos por segundo en un medio de transmisión digital.1 Cada símbolo puede comprender 1 o más bits, dependiendo del esquema de modulación."
"J39","Unidad térmica británica (significado)",""
"J40","Unidad térmica británica (tabla internacional) pie por hora pie cuadrado grado fahrenheit.",""
"J41","Unidad térmica británica (tabla internacional) pulgada por hora pie cuadrado grado fahrenheit.",""
"J42","Unidad térmica británica (tabla internacional) pulgada por segundo pie cuadrado grado fahrenheit.",""
"J43","Unidad térmica británica (tabla internacional) por libra grado fahrenheit",""
"J44","Unidad térmica británica (tabla internacional) por minuto",""
"J45","Unidad térmica británica (tabla internacional) por segundo",""
"J46","Unidad térmica británica (termoquímico) pie por hora pie cuadrado grado fahrenheit.",""
"J47","Unidad térmica británica (termoquímica) por hora",""
"J48","Unidad térmica británica (termoquímico) pulgada por hora pie cuadrado grado fahrenheit.",""
"J49","Unidad térmica británica (termoquímico) pulgada por segundo pie cuadrado grado fahrenheit.",""
"J50","Unidad térmica británica (termoquímico) por libra grado fahrenheit",""
"J51","Unidad térmica británica (termoquímica) por minuto",""
"J52","Unidad térmica británica (termoquímica) por segundo",""
"J53","Culombio metro cuadrado por kilogramo",""
"J54","Megabaud","Unidad de velocidad de transmisión de señal igual a 106 (1000000) eventos de señalización por segundo."
"J55","Watt segundo",""
"J56","Bar por bar",""
"J57","Barril (uk petróleo)","Es el nombre de varias unidades de volumen usadas en el Reino Unido y en los Estados Unidos."
"J58","Barril (petróleo UK) por minuto",""
"J59","Barril (petróleo UK) por día",""
"J60","Barril (petróleo UK) por hora",""
"J61","Barril (petróleo UK) por segundo",""
"J62","Barril (petróleo estados unidos) por hora",""
"J63","Barril (petróleo estados unidos) por segundo",""
"J64","Bushel (UK) por día",""
"J65","Bushel (UK) por hora",""
"J66","Bushel (UK) por minuto",""
"J67","Bushel (UK) por segundo",""
"J68","Bushel (seco, estados unidos) por día",""
"J69","Bushel (seco, estados unidos) por hora",""
"J70","Bushel (seco, estados unidos) por minuto",""
"J71","Bushel (seco, estados unidos) por segundo",""
"J72","Centinewton metro",""
"J73","Centipoise por kelvin",""
"J74","Centipoise por bar",""
